Backend,No.,Query,Category,Status,Reference Text,Round-trip Transcript,WER,ROUGE-L F1,BERTScore F1,Synthesis Time (s),Audio Duration (s),Real-Time Factor
edge,1,What undergraduate programs does GIKI offer?,Academic Programs,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs: 1. Artificial Intelligence - partnered by Huawei
2. Chemical Engineering
3. Civil Engineering
4. Computer Engineering
5. Electrical Engineering These programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.","The Gulamist Shotcon Institute of Engineering Sciences and Technology offers the following undergraduate programs. 1. Artificial Intelligence Partner by Huawei 2. Chemical Engineering 3. Civil Engineering 4. Computer Engineering 5. Electrical Engineering these programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.",0.3125,0.9505,0.8584,9.546,N/A (mp3),N/A (mp3)
edge,2,Tell me about the Artificial Intelligence degree program.,AI Program,ok,"The Artificial Intelligence degree program at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers courses leading to both Master’s (MS) and Doctor of Philosophy (PhD) degrees in Computer Science and Computer Engineering. Key areas covered include:
1. Artificial Intelligence and Robotics
2. Algorithms and Computational Theory
3. High performance computing
4. Machine Learning & Data Mining
5. Network Communication and Distributed Systems
6. Signal and Image Processing and Computer Vision
7. Software and Systems Engineering The program also offers advanced courses in AI, such as:
- Introduction to artificial intelligence (AI), AI problems and applications, human intelligence vs machine intelligence, state-space search problem, heuristic search techniques, problem reduction representation, problem reduction search, knowledge representation techniques, concept of reasoning in AI, predicate logic, fuzzy logic, logical reasoning, genetic algorithms, machine learning The courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart (emotional intelligence) and mind (cognitive abilities), encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the linked pages or visit the official website at .","The Artificial Intelligence Degree Program at Gulam is Shaqon Institute of Engineering Sciences and Technology offers courses leading to both masters, MS, and Doctor of Philosophy, PhD degrees in Computer Science and Computer Engineering. He areas covered include one, Artificial Intelligence and Robotics, two, Algorithms and Computational Theory, three, High Performance Computing, four, Machine Learning and Data Mining, five, Network Communication and Distributed Systems, six signal and image processing and computer vision, seven software and systems engineering the program also offers advanced courses in AI, such as Introduction to Artificial Intelligence, AI, AI problems and applications, human intelligence versus machine intelligence, state-space search problem, heuristic search techniques, problem reduction representation, problem reduction search, knowledge representation techniques, concept of reasoning in AI, predicate logic, fuzzy logic, logical reasoning, genetic algorithms, machine learning the courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart, emotional intelligence and mind cognitive abilities, encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the link pages or visit the official website at www.efficialwebsite.com",0.2474,0.927,0.8658,30.549,N/A (mp3),N/A (mp3)
edge,3,What engineering disciplines can I study at GIKI?,Engineering,ok,"At the Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), you can study several engineering disciplines, including: - Artificial Intelligence - partnered by Huawei
- Chemical Engineering
- Civil Engineering
- Computer Engineering
- Electrical Engineering The registration deadline for these programs is Monday, February 12, 2024.","At the Gulam-Ishat Khan Institute of Engineering Sciences and Technology, Gikki, you can study several engineering disciplines, including Artificial Intelligence Partnered by Huawei, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering the registration deadline for these programs is Monday, February 12th, 2024.",0.3111,0.907,0.9184,6.915,N/A (mp3),N/A (mp3)
edge,4,What postgraduate and PhD programs are available?,Postgraduate,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following graduate programs: 1. Master's (MS) in Computer Science and Computer Engineering.
2. Doctor of Philosophy (PhD) in Computer Science and Computer Engineering. Additionally, there is a Graduate Program in Chemical Engineering that offers both Masters (MS) and Doctor of Philosophy (PhD) degrees. The program covers various research areas including Process & Equipment Design, Fluid handling and Thermodynamic Behavior, Catalytic Reaction, Transport Processes Engineering, Modeling and Simulation, Waste Water Treatment, among others. The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in Chemical Engineering.","The Goulama Shotcon Institute of Engineering Sciences and Technology offers the following graduate programs, One Master's MS, and Computer Science and Computer Engineering. Two, Doctor of Philosophy, PhD, and Computer Science and Computer Engineering. Additionally, there is a graduate program in Chemical Engineering that offers both Master's MS and Doctor of Philosophy, PhD degrees. The program covers various research areas including process and equipment design, fluid handling and thermodynamic behavior, catalytic reaction, transport processes engineering, modeling and simulation, waste water treatment, among others. The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in chemical engineering.",0.3394,0.9321,0.7877,13.404,N/A (mp3),N/A (mp3)
edge,5,How does the admission process work and what are the requirements?,Admissions,ok,"The admission process at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology involves several steps: 1. **Eligibility Criteria**: Candidates must have completed a High School diploma, IB diploma, B.Sc., or DAE to be eligible for provisional admission. 2. **Admission Test**: The admission test is conducted annually (e.g., 2026). Admit cards are issued after the test results are announced. 3. **Application Process**: - Candidates can apply online through the official website. - They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. 4. **Confirmation of Admission**: Confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria (15% minimum merit). For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the Admission Office directly.","The admission process at Goulama's ShotCon Institute of Engineering Sciences and Technology involves several steps, one, eligibility criteria. Candidates must have completed a high school diploma, IB diploma, B.SC, or DAE to be eligible for provisional admission. Two, admission test, the admission test is conducted annually, e.g. 2026. Admit cards are issued after the test results are announced. Three, application process. Candidates can apply online through the official website. They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. Four, confirmation of admission. Confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria, 15% minimum merit. For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the admission office directly.",0.2083,0.9514,0.8018,15.467,N/A (mp3),N/A (mp3)
edge,6,What scholarships or financial aid does GIKI offer?,Scholarships,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website:","The Gulam Ishshat Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website.",0.1071,0.9286,0.8822,5.747,N/A (mp3),N/A (mp3)
edge,7,Tell me about the hostel and accommodation facilities.,Hostels,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) offers a range of accommodation options for its students, including hostels and independent houses. **Hostels:**
- **Boys Hostels:** There are ten hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms.
- **Girls Hostel:** Located on the other side of the institute near the Medical Center and Campus Market, this hostel offers separate facilities for girls students.
- **Facilities in Hostels:** Each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and Sophomore students are provided shared accommodation with attached bathrooms, while Junior and Senior students typically have single rooms on merit basis. **Independent Houses:**
- The institute's faculty and staff members reside in independent houses and flats located within the campus premises.
- **Facilities:** These accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. **Additional Facilities:**
- The GIKafe serves as another dining option available on campus.
- **Facilities in GIKafe:** This cafeteria offers a variety of meals and beverages, catering to the needs of students and staff alike.","The Ghulam-Ishat Khan Institute of Engineering Sciences and Technology Geeky offers a range of accommodation options for its students, including hostels and independent houses. Hostels Asterisk. Boys' hostels Asterisk, there are 10 hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms. Girls' hostel Asterisk located on the other side of the institute near the Medical Center and Campus Market. This hostel offers separate facilities for girls' students. Facilities and hostels Asterisk each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and sophomore students are provided shared accommodation with attached bathrooms, while junior and senior students typically have single rooms on merit basis. Independent houses Asterisk. The institute's faculty and staff members reside in independent houses and flats located within the campus premises. Facilities Asterisk these accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. Additional Facilities Asterisk. The GI Caves serves as another dining option available on campus. Facilities in GI Caves Asterisk this cafeteria offers a variety of meals and beverages catering to the needs of students and staff",0.2362,0.944,0.8481,25.973,N/A (mp3),N/A (mp3)
edge,8,What sports and recreational facilities are on campus?,Sports,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers a variety of sports and recreational facilities for its students. These include: 1. **Sports Complex**: Located in close proximity to the student hostels, this complex covers an area of 3100 Sq. Yds. with a covered area of 31500 Sq. Ft. It features: - A completely covered swimming pool of international standard. - Three standard Squash Courts. - A Gymnasium that includes: - A main hall for playing Basketball, Volleyball, and Badminton on a make-shift basis. - An exercise room with modern equipment for various physical exercises. 2. **Sports Facilities**: The campus also has facilities for other sports such as basketball, volleyball, and badminton in the gymnasium's main hall. These facilities are designed to cater to the diverse needs of students, providing a space where they can engage in both competitive and recreational activities.","The Gulam-Ishat Khan Institute of Engineering Sciences and Technology offers a variety of sports and recreational facilities for its students. These include one sports complex, located in close proximity to the student hostels. This complex covers an area of 3,100 square yards, with a covered area of 31,500 square feet it features, a completely covered swimming pool of international standard, three standard squash courts, a gymnasium that includes a main hall for playing basketball, volleyball, and badminton on a makeshift basis. An exercise room with modern equipment for various physical exercises, two sports facilities. The campus also has facilities for other sports such as basketball, volleyball, and badminton in the gymnasiums main hall. These facilities are designed to cater to the diverse needs of students, providing a space where they can engage in both competitive and recreational activities.",0.2778,0.9078,0.8547,24.219,N/A (mp3),N/A (mp3)
piper,1,What undergraduate programs does GIKI offer?,Academic Programs,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs: 1. Artificial Intelligence - partnered by Huawei
2. Chemical Engineering
3. Civil Engineering
4. Computer Engineering
5. Electrical Engineering These programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.","The Gullam Isha Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs. 1. Artificial Intelligence Partnered by Hugh Way 2 Chemical Engineering 3 Civil Engineering 4 Computer Engineering 5 Electrical Engineering these programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.",0.3125,0.932,0.8852,2.492,23.48,0.106
piper,2,Tell me about the Artificial Intelligence degree program.,AI Program,ok,"The Artificial Intelligence degree program at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers courses leading to both Master’s (MS) and Doctor of Philosophy (PhD) degrees in Computer Science and Computer Engineering. Key areas covered include:
1. Artificial Intelligence and Robotics
2. Algorithms and Computational Theory
3. High performance computing
4. Machine Learning & Data Mining
5. Network Communication and Distributed Systems
6. Signal and Image Processing and Computer Vision
7. Software and Systems Engineering The program also offers advanced courses in AI, such as:
- Introduction to artificial intelligence (AI), AI problems and applications, human intelligence vs machine intelligence, state-space search problem, heuristic search techniques, problem reduction representation, problem reduction search, knowledge representation techniques, concept of reasoning in AI, predicate logic, fuzzy logic, logical reasoning, genetic algorithms, machine learning The courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart (emotional intelligence) and mind (cognitive abilities), encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the linked pages or visit the official website at .","the Artificial Intelligence Degree Program at Gillam Isha. Kahn Institute of Engineering Sciences and Technology offers courses leading to both Master's MS and Doctor of Philosophy PhD degrees in Computer Science and Computer Engineering. Key areas covered include 1. Artificial Intelligence and Robotics 2. Algorithms and Computational Theory 3. High Performance Computing 4. Machine Learning and Data Mining 5. Network Communication and Distributed Systems 6. Signal and Image Processing and Computer Vision 7. Software and Systems Engineering the program also offers advanced courses in AI, such as Introduction to Artificial Intelligence AI. AI Problems and Applications Human Intelligence BS Machine Intelligence State Space Search Problem Sheuristic Search Techniques Problem Reduction Representation Problem Reduction Search Knowledge Representation Techniques Concept of Reasoning in AI Predicate Logic Fuzzy Logic Logical Reasoning Genetic Algorithms Machine Learning the courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart-emotional intelligence and mind cognitive abilities, encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the linked pages or visit the official website at",0.3842,0.9722,0.8909,5.554,85.72,0.065
