No.,Query,Category,Generated Answer,Answered?,Text Chunks Retrieved,Top Text Similarity,Avg Text Similarity,Images Retrieved,Top Image Similarity,Retrieved Source URLs,Answer Length (words),Latency (s)
1,What undergraduate programs does GIKI offer?,Academic Programs,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs:  1. Artificial Intelligence - partnered by Huawei 2. Chemical Engineering 3. Civil Engineering 4. Computer Engineering 5. Electrical Engineering  These programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.",Yes,3,0.684,0.667,1,0.405,https://giki.edu.pk/admissions/admissions-undergraduates/ | https://giki.edu.pk/admissions/admissions-undergraduates/faqs/ | https://giki.edu.pk/transfer-from-other-universities/,52,44.98
2,Tell me about the Artificial Intelligence degree program.,AI Program,"The Artificial Intelligence degree program at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers courses leading to both Master’s (MS) and Doctor of Philosophy (PhD) degrees in Computer Science and Computer Engineering.  Key areas covered include: 1. Artificial Intelligence and Robotics 2. Algorithms and Computational Theory 3. High performance computing 4. Machine Learning & Data Mining 5. Network Communication and Distributed Systems 6. Signal and Image Processing and Computer Vision 7. Software and Systems Engineering  The program also offers advanced courses in AI, such as: - Introduction to artificial intelligence (AI), AI problems and applications, human intelligence vs machine intelligence, state-space search problem, heuristic search techniques, problem reduction representation, problem reduction search, knowledge representation techniques, concept of reasoning in AI, predicate logic, fuzzy logic, logical reasoning, genetic algorithms, machine learning  The courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart (emotional intelligence) and mind (cognitive abilities), encouraging students to develop their skills holistically.  For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the linked pages or visit the official website at [source: https://giki.edu.pk/department/ai/].",Yes,3,0.59,0.581,1,0.301,https://giki.edu.pk/course/advanced-artificial-intelligence/ | https://giki.edu.pk/department/ai/ | https://giki.edu.pk/fcse/fcs-graduate/,199,73.41
3,What engineering disciplines can I study at GIKI?,Engineering,"At the Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), you can study several engineering disciplines, including:  - Artificial Intelligence - partnered by Huawei - Chemical Engineering - Civil Engineering - Computer Engineering - Electrical Engineering  The registration deadline for these programs is Monday, February 12, 2024.",Yes,3,0.72,0.678,1,0.424,https://giki.edu.pk/fbs/frequently-asked-questions-es/ | https://giki.edu.pk/fme/fme-undergraduate/ | https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/,49,4.89
4,What postgraduate and PhD programs are available?,Postgraduate,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following graduate programs:  1. Master's (MS) in Computer Science and Computer Engineering. 2. Doctor of Philosophy (PhD) in Computer Science and Computer Engineering.  Additionally, there is a Graduate Program in Chemical Engineering that offers both Masters (MS) and Doctor of Philosophy (PhD) degrees. The program covers various research areas including Process & Equipment Design, Fluid handling and Thermodynamic Behavior, Catalytic Reaction, Transport Processes Engineering, Modeling and Simulation, Waste Water Treatment, among others.  The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in Chemical Engineering.",Yes,3,0.492,0.478,1,0.311,https://giki.edu.pk/fcse/fcs-graduate/ | https://giki.edu.pk/fmce/dche/dche-graduate/,110,18.01
5,How does the admission process work and what are the requirements?,Admissions,"The admission process at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology involves several steps:  1. **Eligibility Criteria**: Candidates must have completed a High School diploma, IB diploma, B.Sc., or DAE to be eligible for provisional admission.  2. **Admission Test**: The admission test is conducted annually (e.g., 2026). Admit cards are issued after the test results are announced.  3. **Application Process**:    - Candidates can apply online through the official website.    - They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes.  4. **Confirmation of Admission**: Confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria (15% minimum merit).  For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the Admission Office directly.",Yes,3,0.604,0.593,1,0.308,https://giki.edu.pk/admissions/admissions-undergraduates/admission-selection/ | https://giki.edu.pk/admissions/admissions-undergraduates/eligibility-criteria/ | https://giki.edu.pk/admissions/admissions-undergraduates/ugradhow-to-apply/,144,48.2
6,What scholarships or financial aid does GIKI offer?,Scholarships,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website: [source: https://giki.edu.pk/fme/apply-for-admission/]",Yes,3,0.639,0.553,1,0.358,https://giki.edu.pk/fme/ | https://giki.edu.pk/fme/fme-faculty-profile/ | https://giki.edu.pk/ml-ds-registration/,30,4.32
7,Tell me about the hostel and accommodation facilities.,Hostels,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) offers a range of accommodation options for its students, including hostels and independent houses.  **Hostels:** - **Boys Hostels:** There are ten hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms. - **Girls Hostel:** Located on the other side of the institute near the Medical Center and Campus Market, this hostel offers separate facilities for girls students. - **Facilities in Hostels:** Each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and Sophomore students are provided shared accommodation with attached bathrooms, while Junior and Senior students typically have single rooms on merit basis.  **Independent Houses:** - The institute's faculty and staff members reside in independent houses and flats located within the campus premises. - **Facilities:** These accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions.  **Additional Facilities:** - The GIKafe serves as another dining option available on campus. - **Facilities in GIKafe:** This cafeteria offers a variety of meals and beverages, catering to the needs of students and staff alike.",Yes,3,0.561,0.54,1,0.281,https://giki.edu.pk/campus-life/buildings/ | https://giki.edu.pk/sdg-11-sustainable-cities-and-communities/,206,9.39
8,What sports and recreational facilities are on campus?,Sports,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers a variety of sports and recreational facilities for its students. These include:  1. **Sports Complex**: Located in close proximity to the student hostels, this complex covers an area of 3100 Sq. Yds. with a covered area of 31500 Sq. Ft. It features:    - A completely covered swimming pool of international standard.    - Three standard Squash Courts.    - A Gymnasium that includes:      - A main hall for playing Basketball, Volleyball, and Badminton on a make-shift basis.      - An exercise room with modern equipment for various physical exercises.  2. **Sports Facilities**: The campus also has facilities for other sports such as basketball, volleyball, and badminton in the gymnasium's main hall.  These facilities are designed to cater to the diverse needs of students, providing a space where they can engage in both competitive and recreational activities.",Yes,3,0.639,0.592,1,0.287,https://giki.edu.pk/campus-life/buildings/,144,20.51
9,What laboratories and research facilities are available?,Facilities,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers a variety of laboratories and research facilities, including:  - **Programming and Computing (PC) Lab**: This lab is equipped with state-of-the-art computer systems to support courses in programming and computing.    - **Photonics Laboratory**: Specialized for photonics research areas such as fiber optics communication, fiber optic sensors, LIDAR system design, Michelson interferometer kits, advanced optics kits, Newport fiber optics kits, spectrometers, DSP lock-in-amplifiers, fiber optics patch cards, optical modulators, WDM and directional couplers, He-Ne lasers, high power Nd:YAG laser, diode lasers, laser power meters, PIN diodes, APDs, phototransistors, computers with DAQ cards, Oscilloscopes, analog & digital trainers, optoelectronic device fabrication & characterization, and a wide range of other electronic and optics components.  These facilities are designed to support both instructional activities and cutting-edge research in various fields.",Yes,3,0.536,0.527,1,0.295,https://giki.edu.pk/fcse/fcs-labs-and-facilities/ | https://giki.edu.pk/fes-labs-and-facilities/ | https://giki.edu.pk/laboratories/,136,17.77
10,What student societies and clubs can students join?,Student Life,"Students at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology can join a variety of student societies and clubs that cater to various interests, including technology and entrepreneurship, arts, culture, social work, sports, and more. These organizations provide platforms for students to explore their passions, develop leadership skills, engage in meaningful activities, organize events, participate in competitions, or collaborate with like-minded individuals.",Yes,3,0.716,0.604,1,0.284,https://giki.edu.pk/sdgiki/sdg-1-no-poverty/ | https://giki.edu.pk/tempo-rank/,63,17.89
